@relation 'Imagette-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 2 -N 15-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 50'

@attribute Airs_Center_X_0_9 numeric
@attribute Airs_Center_X_0_16 numeric
@attribute Hough_Lines_Horizontal_Global numeric
@attribute Airs_Center_X_0_4 numeric
@attribute Hough_Lines_DiagonalPos_3_4 numeric
@attribute Airs_Center_X_2_9 numeric
@attribute Airs_Center_X_0_25 numeric
@attribute Hough_Lines_Horizontal_4_9 numeric
@attribute Hough_Circles_Radius_Global numeric
@attribute Hough_Lines_DiagonalPos_Global numeric
@attribute Airs_Center_X_7_16 numeric
@attribute Hough_Lines_Vertical_4_9 numeric
@attribute Airs_Center_Y_9_25 numeric
@attribute Mass_Center_Y_0_9 numeric
@attribute Mass_Center_Y_2_9 numeric
@attribute Airs_Center_X_14_25 numeric
@attribute Airs_Center_X_17_25 numeric
@attribute Airs_Center_X_20_25 numeric
@attribute Airs_Center_X_9_16 numeric
@attribute Mass_Center_Y_0_16 numeric
@attribute Hough_Lines_Vertical_Global numeric
@attribute Hough_Lines_DiagonalNeg_Global numeric
@attribute Airs_Center_X_4_25 numeric
@attribute Hough_Lines_DiagonalNeg_1_4 numeric
@attribute Airs_Center_X_GLOBAL numeric
@attribute Airs_Triangle_1_X_9_25 numeric
@attribute Mass_Center_X_0_25 numeric
@attribute Airs_Center_X_7_25 numeric
@attribute Mass_Center_X_7_16 numeric
@attribute Mass_Center_Y_7_9 numeric
@attribute Airs_Center_X_4_9 numeric
@attribute Harris_Corners_X_0_16 numeric
@attribute Airs_Center_X_12_25 numeric
@attribute Hough_Lines_Horizontal_1_9 numeric
@attribute Hough_Lines_DiagonalNeg_3_4 numeric
@attribute Mass_Center_Y_8_9 numeric
@attribute Harris_Corners_X_0_25 numeric
@attribute Airs_Center_X_8_25 numeric
@attribute Airs_Center_X_1_4 numeric
@attribute Airs_Triangle_1_X_0_25 numeric
@attribute Airs_Center_X_15_16 numeric
@attribute Black_Pixel_4_9 numeric
@attribute Airs_Center_X_2_4 numeric
@attribute Airs_Center_X_2_25 numeric
@attribute Mass_Center_Y_9_16 numeric
@attribute Hough_Lines_DiagonalPos_0_4 numeric
@attribute Airs_Center_X_5_25 numeric
@attribute Airs_Triangle_1_Y_4_9 numeric
@attribute Airs_Center_X_7_9 numeric
@attribute Airs_Center_X_24_25 numeric
@attribute Class {accident,bomb,car,casualty,electricity,fire-brigade,fire,flood,gas,injury,paramedics,person,police,road-block}

@data
0,0,32.1429,77.8689,0,10,0,0,39.5763,14.2857,48.9604,100,37.8072,0,0.794872,47.9167,48.5168,0,0,0,39.2857,14.2857,85.4167,57.1429,47.24,83.3333,0,0,0.689352,0,76.25,0,56.25,0,20,0.413082,0,0,30.3279,0,0,7.88462,46.5723,0,0,75,79.1667,39.4477,48.75,0,accident
0,0,28,75.9615,0,0,0,0,25.4673,24,46.1538,100,226.757,0,0,47.5,50,0,0,0,40,8,62.5,25,48.6604,75,0,67.5,0.481653,0.20233,52.9412,0,65,0,33.3333,0.521447,0,15,23.0769,0,48.0769,14.3697,49.0385,0,0,66.6667,52.5,294.223,48.2665,0,accident
93.0233,0,40,67.9688,0,0,0,0,26.5289,24,48.4375,75,20.6612,0.888889,0,48,48,0,0,0,16,20,24,40,47.4728,12,0,54,0.592896,0,53.4884,96.875,36,0,50,0.327511,0,0,19.5312,0,76.5625,13.5013,46.875,0,0,44.4444,42,-91.3148,48.8372,0,accident
0,0,18.5185,80.3922,0,4.41176,0,0,25.1488,29.6296,40.5243,66.6667,96.9529,0,0,47.5,39.7785,0,0,0,40.7407,11.1111,37.9974,0,47.559,67.5,0,60,0.53,0.433494,51.854,0,75,0,33.3333,0.419588,0,25,23.5294,0,48,16.1765,49.0196,0,0,25,50,361.328,48.5294,0,accident
0,0,28,75,0,6.66667,0,0,24.753,28,52.1739,100,262.346,0,0.044444,47.2222,50,0,0,0,40,4,41.6667,16.6667,50.951,54.0123,0,55.5556,0.5,0.539136,47.9348,0,77.7778,0,50,0.655218,0,8.33333,26.087,0,52.1739,20.2222,48.913,0,0,100,58.3333,11.1111,47.2691,0,accident
0,0,23.8095,62.8205,0,0,0,0,23.1481,23.8095,51.9737,100,226.757,0,0,46.6667,48.1538,0,0,0,38.0952,14.2857,33.3333,20,48.452,27.4074,0,30,0.52193,0,36.5385,0,46.6667,0,0,0.820106,0,0,33.3333,0,76.3158,10.1496,48.7179,63.3333,0,37.5,0,15.4321,48.0769,0,accident
0,0,31.5789,0,0,26.9231,0,0,29.1406,26.3158,47.3684,100,368,0,0.196429,0,70,0,21.0526,0,31.5789,10.5263,83.3333,25,67.9692,6.66667,0,20,0.723684,0,78.8462,0,60,0,0,0.425926,0,46.6667,43.5897,0,0,7.69231,46.5262,0,0,100,6.66667,5.66893,48.0769,20,accident
0,0,26.087,73.8636,11.1111,20.6897,0,0,23.9048,26.087,44.0616,100,192.744,0,0.728571,47.0588,43.4817,0,0,0,39.1304,8.69565,76.4706,14.2857,48.6665,76.4706,0,41.1765,0.500162,0.08254,46.5517,0,73.5294,0,0,0.694188,0,0,32.9545,0,9.09091,13.8916,54.7028,88.2353,0,100,85.2941,305.209,44.7887,0,accident
0,0,25,77.8846,0,5.71429,0,0,21.8889,20.8333,48.8124,100,68.0272,0,0,47.619,45.2381,0,0,0,50,4.16667,61.9048,0,47.619,76.1905,0,71.4286,0.551957,0,60,0,64.2857,0,30,0.442196,0,16.6667,25.9615,0,0,11.1905,46.4266,0,0,20,64.2857,-177.469,48.5714,0,accident
0,0,32.1429,81.7308,0,28.5714,0,0,25.2941,21.4286,48.0769,80,0,0,0.355392,47.619,30.9524,0,13.4615,0,42.8571,3.57143,11.9048,22.2222,43.6703,0,0,88.0952,0.624644,0.44704,56.52,0,88.0952,0,0,0.319444,0,26.1905,49.0385,0,23.0769,13.1933,48.4754,0,0.78,100,19.0476,132.229,41.4286,11.9048,accident
0,0,11.5385,90.3846,0,47.9466,0,0,30.0137,50,48.0769,60,212.5,0,0.271537,41.7505,21.4286,0,36.5385,0,38.4615,0,35.7143,0,42.8571,85.7143,0,0,0.29359,0.036765,47.1429,0,0,0,0,0.237473,0,47.619,45.1895,0,48.0769,21.5126,48.0769,0,0.236196,0,16.6667,-103.806,42.8571,40.4762,accident
0,0,21.7391,84.8837,0,54.3103,0,0,21.1037,30.4348,45.2381,0,0,0,0.260915,47.0588,44.1176,0,57.1625,0,47.8261,0,35.2941,0,47.1264,0,0,67.6471,0.766062,0.208664,53.8916,0,0,0,0,0.835317,0,35.2941,53.5457,0,38.0952,15.7328,47.6798,0,0.259409,0,41.1765,296.99,48.2759,70.5882,accident
0,0,28.5714,91.0714,33.3333,53.4217,0,0,30.0654,47.619,35.7143,0,346.26,0,0.42793,47.7273,56.8182,0,53.242,0,23.8095,0,40.9091,0,47.7679,-7.57576,0,85.6061,0.599206,0.099128,51.3312,0,0,0,0,0.494604,0,43.1818,47.3214,0,45.9535,15.7248,48.4074,0,0.27037,0,54.6756,-43.1929,44.5946,45.4545,accident
0,0,13.6364,84.4444,0,50,0,0,20.2941,54.5455,56.8182,100,237.5,0,0.246732,46.1111,44.4444,0,34.0909,0,31.8182,0,52.7778,0,48.7909,88.8889,0,63.8889,0.623106,0.149782,38.3333,0,0,0,8.33333,0.744281,0,30.5556,50,0,34.0909,20.2941,47.6959,0,0.268333,0,30.5556,-112.199,50,30.5556,accident
0,0,23.0769,92.3913,10,54.6541,0,0,27,26.9231,47.8261,0,351.474,0,0.333059,47.2222,33.3333,0,54.8796,0,50,0,50,0,46.7391,55.5556,0,0,0.236715,0.13099,48.3333,0,0,0,0,0.276323,0,47.2222,46.7391,0,50,16.7619,48.913,0,0.22509,0,66.6667,-103.638,48.3333,52.7778,accident
0,0,15,75,0,15.493,0,0,20.1115,27.5,44.393,100,14.8721,0,0.750331,85.7143,85.7143,0,0,0,40,17.5,88.0952,42.8571,50.2096,88.0952,0,66.6667,0,0.185518,39.4366,0,48.8095,8.33333,30,0.294686,0,5.95238,38.2075,0,6.60377,6.10329,49.8561,0,0,57.1429,0,2.1004,50.7042,3.57143,accident
93.662,0,5.12821,73.1132,0,11.2676,0,0,20.9832,20.5128,81.1321,100,104.105,0,0.857012,0,79.7619,0,0,0,58.9744,15.3846,42.8571,100,49.7653,33.0049,0,65.4762,0.889623,0.460438,43.662,0,48.8095,11.7647,20,0.638503,0,3.57143,34.9057,0,49.0566,6.58658,48.1132,95.2381,0,21.4286,90.4762,-69.2042,53.5211,0,accident
